mandal,date,year,month,week,rainfall,temp_min,temp_max,humidity_min,humidity_max
Achampet,2018-05-20,2018,May,20,2.014285714285714,25.93571428571429,38.69285714285714,25.95714285714286,63.88571428571429
Achampet,2018-05-27,2018,May,21,0.4214285714285714,27.72142857142857,39.05714285714286,28.14285714285714,61.04285714285714
Achampet,2018-06-03,2018,Jun,22,11.74285714285714,25.67142857142857,38.98571428571428,31.06428571428571,70.41428571428571
Achampet,2018-06-10,2018,Jun,23,4.928571428571429,23.92857142857143,34.30714285714286,47.50714285714286,87.07142857142857
Achampet,2018-06-17,2018,Jun,24,0.1071428571428571,25.57857142857143,34.54285714285714,41.38571428571429,74.07857142857142
Achampet,2018-06-24,2018,Jun,25,1.857142857142857,24.77857142857143,34.22142857142858,41.19285714285714,75.45
Achampet,2018-07-01,2018,Jul,26,0.7571428571428571,24.89285714285714,32.77142857142857,44.54285714285714,72.31428571428572
Achampet,2018-07-08,2018,Jul,27,1.985714285714286,24.58571428571429,32.86428571428571,45.01428571428572,74.57857142857142
Achampet,2018-07-15,2018,Jul,28,7.65,23.54285714285714,28.8,68.37142857142858,92.85714285714286
Achampet,2018-07-22,2018,Jul,29,0.5071428571428571,24.38571428571428,31.47142857142857,55.72142857142858,85.35000000000001
Achampet,2018-07-29,2018,Jul,30,1.557142857142857,25.75714285714286,33.2,47.37857142857143,81.75714285714285
Achampet,2018-08-05,2018,Aug,31,0.6428571428571429,24.45714285714286,33.44285714285714,50.07857142857143,81.64999999999999
Achampet,2018-08-12,2018,Aug,32,6.850000000000001,23.82142857142857,30.47142857142857,59.45,86.13571428571429
Achampet,2018-08-19,2018,Aug,33,2.307142857142857,23.21428571428572,28.22857142857143,82.8,96.25
Achampet,2018-08-26,2018,Aug,34,1.914285714285714,22.95714285714286,29.22142857142857,76.42142857142858,95.23571428571428
Achampet,2018-09-02,2018,Sep,35,3.292857142857143,23.23571428571429,30.56428571428571,63.9,93.85000000000001
Achampet,2018-09-09,2018,Sep,36,0.0,23.05,31.82857142857143,49.87857142857143,83.07857142857142
Achampet,2018-09-16,2018,Sep,37,0.2,23.13571428571429,34.78571428571428,43.97142857142858,91.45714285714287
Achampet,2018-09-23,2018,Sep,38,7.471428571428571,22.7,30.91428571428571,64.19285714285715,96.73571428571428
Achampet,2018-09-30,2018,Sep,39,0.3428571428571429,22.65,32.92142857142857,60.2,98.48571428571428
Achampet,2018-10-07,2018,Oct,40,0.6388888888888888,22.85,33.75555555555556,52.97222222222222,97.1
Achampet,2018-10-14,2018,Oct,41,0.0,21.62142857142857,34.2,36.88571428571429,86.64285714285714
Achampet,2018-10-21,2018,Oct,42,0.2857142857142857,22.36428571428572,33.73571428571429,47.17142857142857,97.01428571428572
